"","day","at","ws","ap","sp","h2o","lwt"
"3",2018-01-01,-0.795964229166667,6.5503765,976.088150208333,217.733437849952,2.71845910416667,1.66988888888889
"4",2018-01-02,1.13901664583333,6.57804783333333,974.163374583333,206.135717102538,2.55046329166667,2.17460416666667
"5",2018-01-03,0.990698395833333,6.6113820212766,959.040167916667,237.090635218803,2.88948291891892,2.03952777777778
"6",2018-01-04,1.82236589583333,14.5545945,961.056723333333,290.529489143332,3.53746897916667,1.712125
"7",2018-01-05,-0.0867743958333333,5.1338415625,967.910796458333,280.262878572938,3.46082903125,2.95913888888889
"8",2018-01-06,-1.9309084375,2.09994263888889,973.491367708333,233.276635677578,2.91692686206897,3.1891875
"9",2018-01-07,-0.920346666666667,3.80984025,986.52200125,218.194103896238,2.75458897368421,4.26185416666667
"10",2018-01-08,-0.712790229166667,3.15118775,983.5618275,209.862715657889,2.6394472,5.48538194444444
"11",2018-01-09,-1.1863446875,2.36497866666667,975.000346875,229.74276909786,2.86931481481481,6.12520833333333
"12",2018-01-10,-0.902420479166667,2.9851858125,971.87139375,237.294335923546,2.95103657894737,6.64647222222222
"13",2018-01-11,0.600340583333333,6.7754823125,976.102701875,213.604452040452,2.653344225,5.80489583333333
"14",2018-01-12,0.623265291666667,5.32256566666667,977.215105208333,188.522427946369,2.34425369230769,5.91275694444444
"15",2018-01-13,0.1922614375,8.486410375,970.304753333333,203.906738196978,2.52159539130435,4.68897222222222
"16",2018-01-14,1.45615797916667,6.44715260416667,957.971286875,190.763353885179,2.31835329166667,4.46017361111111
"17",2018-01-15,0.631149604166667,9.45688016666667,959.607376875,212.368232071861,2.59311654166667,3.14320138888889
"18",2018-01-16,1.48971735416667,8.87674289583333,962.483391666667,227.885989804738,2.7822104375,4.37075
"19",2018-01-17,-0.726342104166667,4.73410770833333,961.469102916667,201.161420230487,2.47330488095238,4.39582638888889
"20",2018-01-18,0.1117049375,5.3610349375,968.970799166667,220.840550907131,2.72805540540541,5.30013888888889
"21",2018-01-19,-2.74819027083333,2.45244625,968.288427291667,211.147665439351,2.63404918518519,5.58138194444444
"22",2018-01-20,-2.59646641666667,1.71181054166667,970.333121041667,186.62308183902,2.33171491666667,5.97097222222222
"23",2018-01-21,-2.559278375,3.79492370833333,969.524690208333,166.873776859561,2.08293883333333,4.37847916666667
"24",2018-01-22,-2.3874280625,6.155522875,970.111975416667,156.788406619855,1.95699461363636,3.653625
"25",2018-01-23,-2.97232210416667,5.00650802083333,971.816336875,163.51047670126,2.04890944444444,2.87493055555556
"26",2018-01-24,-3.36647558333333,6.21310566666667,978.68938375,199.264282157928,2.51826460416667,2.94120833333333
"27",2018-01-25,-4.27591360416667,2.18521935416667,974.3968025,157.382675853257,1.98694696969697,4.01868055555556
"28",2018-01-26,-6.35931902083333,1.69269295833333,972.439281666667,132.362883165225,1.68073988235294,4.93048611111111
"29",2018-01-27,-4.0332964375,1.81694329166667,980.276014791667,165.219254458323,2.09657705714286,4.54708333333333
"30",2018-01-28,-0.437094770833333,7.75853666666667,969.104658958333,180.074316249886,2.22925225531915,4.40586805555556
"31",2018-01-29,0.161959791666667,4.67533527083333,969.930028125,197.491177197117,2.44158538095238,4.25600694444444
"32",2018-01-30,0.254067625,6.538310125,974.66377125,161.52284660025,2.0059784375,4.46157638888889
"33",2018-01-31,0.1540943125,5.9483483125,977.997404375,170.382522810814,2.12402222916667,3.9198125
"34",2018-02-01,-0.1355518125,7.37051135416667,978.257333125,164.110555233884,2.04854941666667,3.11029861111111
"35",2018-02-02,-1.4042684375,8.99466779166667,977.3347,138.89405645068,1.7402301875,2.63455555555556
"36",2018-02-03,-0.595848916666667,7.37221729166667,972.007910833333,135.784020391129,1.68697291891892,3.21426388888889
"37",2018-02-04,1.61069875,9.8283835,964.310979583333,229.439881409356,2.80526477083333,2.61927777777778
"38",2018-02-05,0.480148583333333,9.29274654166667,963.715941875,302.586538549402,3.71259135416667,2.04704166666667
"39",2018-02-06,1.0728221875,8.665970625,974.164238541667,244.468540024178,3.02547810416667,2.05111111111111
"40",2018-02-07,-0.828169739130435,9.53245465217391,962.522305217391,166.430794503545,2.049295,2.59081944444444
